                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7619,                 2.9738,                 1.8856,                0.00677,                   0.75,                0.19763,                0.07861,                 1.6491,                 5.0593,                 2.1369,                      0,                      0,                      0
                      2,                 1.9814,                 3.0674,                 1.9926,                0.00682,                   0.75,                0.39767,                0.10245,                  1.647,                 4.9736,                 2.0998,             1.6395e-05,             1.6395e-05,             1.6395e-05
                      3,                 1.9267,                 2.9594,                 1.9997,                0.00671,                   0.75,                0.44515,                0.21347,                 1.6292,                 4.7458,                 1.9916,              3.224e-05,              3.224e-05,              3.224e-05
                      4,                 1.6056,                 2.9763,                 1.7018,                0.00698,                   0.75,                0.54948,                0.17487,                   1.56,                 4.4512,                 1.8583,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      5,                 1.9039,                 3.0522,                 1.8963,                0.00946,                      1,                0.73012,                0.25175,                 1.4302,                 4.3033,                 1.6968,             6.2279e-05,             6.2279e-05,             6.2279e-05
                      6,                 1.6258,                 3.0627,                 1.6939,                 0.0095,                      1,                   0.87,                0.31179,                 1.2303,                 4.2272,                 1.5145,             7.6474e-05,             7.6474e-05,             7.6474e-05
                      7,                 1.2931,                 2.8924,                 1.4551,                0.00935,                      1,                 0.7825,                0.43136,                 1.0976,                 4.0475,                 1.3342,             9.0118e-05,             9.0118e-05,             9.0118e-05
                      8,                 1.5937,                 2.9808,                 1.6372,                0.00905,                      1,                0.85611,                 0.5558,                  0.985,                 3.7274,                  1.221,             0.00010321,             0.00010321,             0.00010321
                      9,                 1.5245,                 2.7517,                 1.6332,                0.00885,                      1,                0.91167,                0.65237,                0.95476,                 3.6057,                 1.1738,             0.00011576,             0.00011576,             0.00011576
                     10,                 1.4363,                  2.853,                 1.5505,                0.00893,                      1,                  0.945,                0.71112,                0.91459,                 3.5475,                 1.1391,             0.00012775,             0.00012775,             0.00012775
                     11,                   1.19,                 2.4723,                 1.4064,                0.00907,                      1,                  0.995,                0.73787,                0.89384,                 3.5114,                 1.1284,             0.00013919,             0.00013919,             0.00013919
                     12,                 1.2524,                 2.6048,                 1.4632,                0.00897,                      1,                  0.995,                0.74603,                0.86407,                 3.4478,                 1.1139,             0.00015009,             0.00015009,             0.00015009
                     13,                 1.2421,                 2.4532,                 1.4626,                0.00901,                      1,                  0.995,                0.74603,                0.87405,                 3.4154,                  1.117,             0.00016043,             0.00016043,             0.00016043
                     14,                 1.3819,                 2.3453,                 1.5457,                0.00891,                      1,                  0.995,                0.68809,                0.92114,                  3.363,                 1.1326,             0.00017023,             0.00017023,             0.00017023
                     15,                 1.2058,                 2.3666,                 1.4436,                0.00891,                      1,                  0.995,                0.66345,                0.93446,                 3.3134,                 1.1329,             0.00017947,             0.00017947,             0.00017947
                     16,                 1.2342,                 2.3537,                 1.4652,                0.00806,                      1,                  0.995,                0.68298,                0.87096,                 3.2983,                 1.1159,             0.00018816,             0.00018816,             0.00018816
                     17,                 1.1076,                 2.1403,                 1.3392,                 0.7223,                      1,                  0.995,                0.72349,                0.78138,                 3.2463,                 1.0807,             0.00019631,             0.00019631,             0.00019631
                     18,                 1.2302,                 2.3007,                 1.3501,                 0.7223,                      1,                  0.995,                0.72349,                0.78138,                 3.2463,                 1.0807,              0.0002039,              0.0002039,              0.0002039
                     19,                 1.1144,                  2.029,                 1.2694,                0.98549,                      1,                  0.995,                0.73474,                0.72782,                  3.153,                 1.0772,             0.00021094,             0.00021094,             0.00021094
                     20,                 1.2029,                 1.9094,                 1.3607,                0.98549,                      1,                  0.995,                0.73474,                0.72782,                  3.153,                 1.0772,             0.00021744,             0.00021744,             0.00021744
                     21,                 1.1462,                 2.0517,                 1.3087,                      1,                 0.8597,                  0.995,                0.68015,                0.67733,                 3.1722,                 1.0697,             0.00022338,             0.00022338,             0.00022338
                     22,                 1.0223,                 1.9614,                 1.2368,                      1,                 0.8597,                  0.995,                0.68015,                0.67733,                 3.1722,                 1.0697,             0.00022877,             0.00022877,             0.00022877
                     23,                 1.0431,                 1.8095,                 1.2459,                      1,                0.93503,                  0.995,                0.68014,                0.67194,                 3.1331,                 1.0739,             0.00023361,             0.00023361,             0.00023361
                     24,                 1.0807,                 1.7242,                   1.28,                      1,                0.93503,                  0.995,                0.68014,                0.67194,                 3.1331,                 1.0739,             0.00023791,             0.00023791,             0.00023791
                     25,                  1.082,                 1.7253,                  1.277,                0.96231,                      1,                  0.995,                0.68017,                0.64709,                  3.141,                 1.0722,             0.00024165,             0.00024165,             0.00024165
                     26,                 1.0984,                 1.7844,                  1.302,                0.96231,                      1,                  0.995,                0.68017,                0.64709,                  3.141,                 1.0722,             0.00024484,             0.00024484,             0.00024484
                     27,                 1.0607,                 1.8511,                 1.2404,                0.90189,                      1,                  0.995,                0.69252,                0.59701,                 3.1941,                 1.0713,             0.00024748,             0.00024748,             0.00024748
                     28,                 1.2386,                 1.5647,                 1.3153,                0.90189,                      1,                  0.995,                0.69252,                0.59701,                 3.1941,                 1.0713,             0.00024957,             0.00024957,             0.00024957
                     29,                 1.1423,                 1.6063,                 1.3276,                0.87807,                      1,                  0.995,                0.69261,                0.58017,                  3.268,                 1.0679,             0.00025112,             0.00025112,             0.00025112
                     30,                 1.0654,                 1.4707,                 1.2143,                0.87807,                      1,                  0.995,                0.69261,                0.58017,                  3.268,                 1.0679,             0.00025211,             0.00025211,             0.00025211
                     31,                0.96897,                 1.7571,                 1.2554,                 0.9104,                      1,                  0.995,                 0.6641,                0.67732,                 3.3259,                 1.1034,             0.00025255,             0.00025255,             0.00025255
